"ensembl_gene_id","ensembl_gene_id_hg38","gene_name_hg19","gene_name_local","gene_name_hg38","mismatch_hg19","mismatch_ensembl","entrezgene_ids","refseq_status","refseq_hardcoded","ensembl_transcript_hardcoded"
"ENSG00000152457","ENSG00000152457","DCLRE1C","DCLRE1C","DCLRE1C","FALSE","FALSE",64421,,,
"ENSG00000153563","ENSG00000153563","CD8A","CD8A","CD8A","FALSE","FALSE",925,,,
"ENSG00000154124","ENSG00000154124","FAM105B","OTULIN","OTULIN","TRUE","FALSE",90268,,,
"ENSG00000155465","ENSG00000155465","SLC7A7","SLC7A7","SLC7A7","FALSE","FALSE",9056,,,
"ENSG00000159110","ENSG00000159110","IFNAR2","IFNAR2","IFNAR2","FALSE","FALSE",3455,,,
"ENSG00000159128","ENSG00000159128","IFNGR2","IFNGR2","IFNGR2","FALSE","FALSE",3460,,,
"ENSG00000159189","ENSG00000159189","C1QC","C1QC","C1QC","FALSE","FALSE",714,,,
"ENSG00000159753","ENSG00000159753","RLTPR","CARMIL2","CARMIL2","TRUE","FALSE",146206,,,
"ENSG00000160211","ENSG00000160211","G6PD","G6PD","G6PD","FALSE","FALSE",2539,,,
"ENSG00000160224","ENSG00000160224","AIRE","AIRE","AIRE","FALSE","FALSE",326,,,
"ENSG00000160255","ENSG00000160255","ITGB2","ITGB2","ITGB2","FALSE","FALSE",3689,,,
"ENSG00000160654","ENSG00000160654","CD3G","CD3G","CD3G","FALSE","FALSE",917,,,
"ENSG00000160710","ENSG00000160710","ADAR","ADAR","ADAR","FALSE","FALSE",103,,,
"ENSG00000162434","ENSG00000162434","JAK1","JAK1","JAK1","FALSE","FALSE",3716,,,
"ENSG00000162594","ENSG00000162594","IL23R","IL23R","IL23R","FALSE","FALSE",149233,,,
"ENSG00000162676","ENSG00000162676","GFI1","GFI1","GFI1","FALSE","FALSE",2672,,,
"ENSG00000162711","ENSG00000162711","NLRP3","NLRP3","NLRP3","FALSE","FALSE",114548,,,
"ENSG00000163599","ENSG00000163599","CTLA4","CTLA4","CTLA4","FALSE","FALSE",1493,,,
"ENSG00000163600","ENSG00000163600","ICOS","ICOS","ICOS","FALSE","FALSE",29851,,,
"ENSG00000163702","ENSG00000163702","IL17RC","IL17RC","IL17RC","FALSE","FALSE",84818,,,
"ENSG00000163932","ENSG00000163932","PRKCD","PRKCD","PRKCD","FALSE","FALSE",5580,,,
"ENSG00000163961","ENSG00000163961","RNF168","RNF168","RNF168","FALSE","FALSE",165918,,,
"ENSG00000164330","ENSG00000164330","EBF1","EBF1","EBF1","FALSE","FALSE",1879,,,
"ENSG00000164362","ENSG00000164362","TERT","TERT","TERT","FALSE","FALSE",7015,,,
"ENSG00000165168","ENSG00000165168","CYBB","CYBB","CYBB","FALSE","FALSE",1536,,,
"ENSG00000166278","ENSG00000166278","C2","C2","C2","FALSE","FALSE",717,,,
